objava,datum,mjesec,godina,jezik,tema,tip,svidanja,komentari,sentiment_score,sentiment_label,pozitivnih_rijeci,negativnih_rijeci,duljina_znakova,duljina_rijeci,duljina_recenica,ttr_objava,tekst,tekst_en
99,2026-01-26,2026-01-01,2026,hr,sport_zabava,pitanje_potreba,3,2,1,pozitivan,1,0,180,28,3,1,"Dinamo-Midtjylland 29.1. Pozdrav, ide li itko autom iz Aarhusa/okolice na Dinamo-Midtjylland 29.1? I ima 2 slobodna mjesta, koje naravno placamo Edit: nađeno","Dinamo-Midtjylland 29.1. Hello, is anyone going by car from Aarhus/surroundings to Dinamo-Midtjylland on January 29? And there are 2 free places, which of course we pay Edit: found"
100,2026-01-24,2026-01-01,2026,hr,birokracija,pitanje_potreba,3,12,0,neutralan,NA,NA,118,26,1,0.85,"Pozdrav, može li se auto na Hr tablice voziti duže vremena u DK(imam CPR), i kako to ""legalno"" učiniti? Hvala","Hello, can a car with Hr plates be driven for a long time in DK (I have CPR), and how can it be done ""legally""? Thanks"
101,2026-01-24,2026-01-01,2026,hr,transport_putovanja,ostalo,4,5,1,pozitivan,1,0,165,26,3,0.875,Pozdrav. Idem u nedjelju iz Varaždina za Copenhagen točnije Hvidovre. Ako netko treba nešto odvesti gore ili od tamo do Varaždina/Zagreba. Kombi,"Greeting. On Sunday, I am leaving Varaždin for Copenhagen, more precisely Hvidovre. If someone needs to take something up there or from there to Varaždin/Zagreb. Van"
102,2026-01-08,2026-01-01,2026,hr,transport_putovanja,pitanje_potreba,0,6,0,neutralan,NA,NA,173,31,2,0.88,"Pozdrav svima, Trebam jednu informaciju, dali netko putuje prema hrvatskoj ali sa kombijem ili nesto slicno. Pitanje je vezano za povratak nazad u Hr. Hvala","Hello everyone, I need one piece of information, is anyone traveling to Croatia but with a van or something similar. The question is related to the return back to Hr. Thanks"
103,2026-01-24,2026-01-01,2026,hr,ostalo,ostalo,1,2,1,pozitivan,1,0,147,28,4,0.9565217391304348,Fredericia. Adresa zgrade ili neki slobodan parking da ostavim auto na tri dana. Blizina autobusnog kolodvora. Netko tko zna.,Fredericia. The address of the building or a free parking lot where I can leave my car for three days. Close to the bus station. Someone who knows.
104,2026-01-24,2026-01-01,2026,hr,sport_zabava,ponuda_oglas,2,0,0,neutralan,NA,NA,140,20,4,0.7857142857142857,"Pozdrav, prodaju se 3 dnevne ulaznice za rukometne utamice od 15.30, ukljucujuci i rukometnu utakmicu Hrvatska-Švicarska za nedjelju 25.01.2026.","Hello, 3 daily tickets are for sale for handball matches from 15.30, including the handball match Croatia-Switzerland for Sunday 25.01.2026."
105,2026-01-24,2026-01-01,2026,hr,obrtnici_usluge,ostalo,2,0,0,neutralan,NA,NA,49,8,1,1,"Potreban Automehanicar sa iskustvom, neka mi se javi..","Car mechanic with experience needed, let me know."
106,2026-01-29,2026-01-01,2026,hr,transport_putovanja,pitanje_potreba,0,3,5,pozitivan,5,0,420,80,4,0.7714285714285715,Dobar dan imam jedno pitanje ovako radi se o dijetetu koji je 18 godina i htio bih raditi u Danskoj pa u njegovo ime pisem kako ide procedura u vezi posla? Gdje bih se mogao obratiti za pomoc? Trenutno se nalazi kod mame na adresi no kako ide to sa prijavim i drugo? Evo hvala unaprijed ako netko zna kako to ide pa bih mogao dati savijet i preporuku.hvala,"Good afternoon, I have a question, this is about a child who is 18 years old and I would like to work in Denmark, so I am writing on his behalf, how does the procedure regarding work go? Where could I turn for help? He is currently at his mother's address, but how is it going with the registration and other things? Here, thanks in advance if anyone knows how it goes, so I could give advice and recommendations. thanks"
107,2026-01-13,2026-01-01,2026,hr,zdravstvo,ostalo,4,5,0,neutralan,NA,NA,119,20,1,1,Potrebna radna snaga! Ugostiteljstvo - kuhar - pomoćnik u kuhinji - 2 do 3 konobara sezonski od aprila mjeseca Jylland Esbjerg /Ribe,Manpower needed! Hospitality - chef - kitchen assistant - 2 to 3 waiters seasonally from April Jylland Esbjerg / Pisces
108,2025-11-10,2025-11-01,2025,hr,stanovanje,pitanje_potreba,0,3,1,pozitivan,1,0,387,70,9,0.7931034482758621,"Pozdrav svima! Moji sinovi, rođeni u Danskoj i s hrvatskim pasošima, traže posao kao konobari na tri mjeseca, u periodu od 15.01. do 15.04.2026. Imaju svoj smještaj, pa im treba samo posao. Idealno bi bilo u Kopenhagenu ili okolici. Ako netko zna ili može pomoći, molim da mi se javi u inbox ili ovdje u komentare. Hvala puno unaprijed!","Hello everyone! My sons, born in Denmark and with Croatian passports, are looking for a job as waiters for three months, from January 15. until 15.04.2026. They have their own accommodation, so all they need is a job. Ideally, it would be in Copenhagen or the surrounding area. If anyone knows or can help, please contact me in the inbox or here in the comments. Thanks a lot in advance!"
109,2026-01-17,2026-01-01,2026,hr,ostalo,pitanje_potreba,0,5,0,neutralan,NA,NA,50,9,1,1,Ima li neko da mi posudi hrvatsku zastavu za srijedu?,Can someone lend me a Croatian flag for Wednesday?
110,2026-01-13,2026-01-01,2026,hr,stanovanje,pitanje_potreba,1,4,0,neutralan,1,1,241,43,2,0.775,"Oprostite na anonimnosti, zanima me za pocetak prije selidbe iz Hr u Dansku gdje je najbolje poceti traziti posao, na kojim platformama posao a na kojima stan. Idem sam bez obitelji.","Sorry for the anonymity, I'm interested in getting started before moving from Croatia to Denmark, where is the best place to start looking for a job, on which platforms for a job and which for an apartment. I'm going alone without my family."
111,2026-01-16,2026-01-01,2026,hr,zdravstvo,ostalo,3,3,2,pozitivan,2,0,91,14,2,1,Molim vas preporuke za fizioterapeuta u CPH i okolici. Hvala!,I would like recommendations for a physiotherapist in CPH and the surrounding area. Thanks!
112,2026-01-16,2026-01-01,2026,hr,obrtnici_usluge,pitanje_potreba,0,0,2,pozitivan,2,0,113,19,3,1,"Dobar dan. Meni bi hitno trebao sudski tumač i BILJEŽNIK u Kopenhagenu, da li možda postoji? Hvala puno!!","Good afternoon. I urgently need a court interpreter and NOTARY in Copenhagen, is there one? Thank you very much!!"
113,2026-01-14,2026-01-01,2026,hr,tv_internet,pitanje_potreba,1,11,2,pozitivan,2,0,253,50,4,0.8409090909090909,EonTv preko Telemacha..ako netko ima ovu uslugu htio bih pitati za par informacija. Rekli su mi iz korisnicke sluzbe da se smije biti van HR samo 3mjeseca prije nego iskljuce uslugu.Je li to stvarno tako ili radi i duze?,EonTv via Telemach..if anyone has this service I would like to ask for some information. I was told by the customer service that you can only be out of HR for 3 months before they turn off the service. Is that really the case or does it work for longer?
114,2026-01-14,2026-01-01,2026,hr,ostalo,pitanje_potreba,10,4,0,neutralan,NA,NA,196,36,2,0.9,"Pored svih ajvara, rakija, pasteta...iz Hrvatske, mene smo zanima je li netko ikad igdje u Danskoj nasao Tomislav pivo? Ne da mi se svaki put vozit gajbu iz Hrvatske","In addition to all the ajvar, rakija, pate... from Croatia, I am wondering if anyone has ever found Tomislav beer anywhere in Denmark? I don't want to have to drive a crate from Croatia every time"
115,2026-01-15,2026-01-01,2026,hr,transport_putovanja,ostalo,6,0,-1,negativan,1,2,190,33,4,0.9166666666666666,"Pozdrav svima. Polazak je 22 - og Januara za Srbiju i Hrvatsku. Bavimo se Transportom Robe iz Danske za jednom mesečno. Pakujemo je polako, bezbedno, da ne bi bilo oštećenja u Transportu.","Hello everyone. The departure is on January 22nd for Serbia and Croatia. We transport goods from Denmark once a month. We pack it slowly, safely, so that there is no damage during transport."
116,2026-01-12,2026-01-01,2026,hr,obrtnici_usluge,ostalo,301,9,0,neutralan,NA,NA,25,5,0,1,Nova prodavnica - Brønshøj 2700,New store - Brønshøj 2700
117,2026-01-07,2026-01-01,2026,hr,transport_putovanja,pitanje_potreba,0,5,0,neutralan,NA,NA,128,25,2,0.9523809523809523,"Lp, samo me zanima gdje mogu nabaviti kutije za pakiranje. Moram slati za zg dosta veliku posiljku. Unaprijed hvala na odgovorima","Lp, just wondering where I can get packing boxes. I have to send a rather large parcel for zg. Thanks in advance for the answers"
118,2026-01-09,2026-01-01,2026,hr,transport_putovanja,pitanje_potreba,1,5,0,neutralan,NA,NA,137,26,2,0.8333333333333334,Tko od prijevoznika uskoro kreće za Hrvatsku iz Danske? Imam dvije kutjje do 20 kg za povesti iz Roskildea do Rijeke (Crikvenica).,Which of the carriers will soon leave for Croatia from Denmark? I have two dogs up to 20 kg to take from Roskilde to Rijeka (Crikvenica).
119,2026-01-06,2026-01-01,2026,hr,ostalo,pitanje_potreba,0,2,0,neutralan,NA,NA,145,30,3,0.8695652173913043,"Pozdrav. Ide li netko autom iz Rijeke za Dansku krajem 3. ili u 4. mjesecu? Trebala bih povesti nesto, naravno uz naknadu.","Greeting. Is anyone going by car from Rijeka to Denmark at the end of the 3rd or in the 4th month? I should bring something, of course for a fee."
120,2026-01-06,2026-01-01,2026,hr,posao,ostalo,20,3,2,pozitivan,2,0,568,81,6,0.7971014492753623,"Moje ime je Elvin i iza sebe imam dugogodišnje iskustvo rada na danskom tržištu. Od početka februara pokrećem agenciju za zapošljavanje MatchlyNordic, specijalizovanu za vikar i rekrutaciju. Kandidati mogu dostaviti svoje podatke i CV putem web stranice MatchlyNordic.dk, kroz kontakt formu ili e-mail elvin@matchlynordic.dk MatchlyNordic aktivno sarađuje s kompanijama u potrazi za kvalifikovanim kadrom, kako za privremene, tako i za stalne pozicije. Kandidati će biti kontaktirani kada se pojavi odgovarajuća poslovna prilika. LP Elvin Bubalo","My name is Elvin and I have many years of experience working on the Danish market. Since the beginning of February, I have been running the MatchlyNordic recruitment agency, specializing in vicar and recruitment. Candidates can submit their information and CV through the website MatchlyNordic.dk, through the contact form or e-mail elvin@matchlynordic.dk MatchlyNordic actively cooperates with companies in search of qualified staff, both for temporary and permanent positions. Candidates will be contacted when a suitable business opportunity arises. LP Elvin Bubalo"
121,2026-01-07,2026-01-01,2026,hr,birokracija,pitanje_potreba,1,1,0,neutralan,NA,NA,42,8,1,1,Pozz trazi li netko cpr adresu?,"Pozz, is anyone looking for a cpr address?"
123,2026-01-08,2026-01-01,2026,hr,sport_zabava,ponuda_oglas,7,2,-1,negativan,0,1,296,52,0,0.7777777777777778,Dođite i provedite valentinovo uz SKITNICE BAND u caffe G uz mladog harmonikaša Lovre iz Zgreba koji će svirati za vašu dušu uz pratnju Admira Delalića(DELA) I vokalnu izvedbu Sanela Mehičića(LAVA) Zbog ograničenog broja mjesta rezerervirajte svoju ulaznicu na vrijeme VIDIMO SE,"Come and spend Valentine's Day with the SKITNICE BAND in cafe G with the young accordionist Lovra from Zagreb who will play for your soul accompanied by Admir Delalić (DELA) and the vocal performance of Sanel Mehičić (LAVA) Due to the limited number of places, reserve your ticket in time SEE YOU"
124,2026-01-06,2026-01-01,2026,hr,ostalo,ostalo,5,3,0,neutralan,NA,NA,68,13,2,0.9,"Brande, Bestseller! Autor nek se javi ako je u grupi!","Brand, Bestseller! Let the author contact you if he is in the group!"
125,2026-01-07,2026-01-01,2026,hr,drustvo_upoznavanje,ostalo,6,10,-1,negativan,2,3,431,86,5,0.6666666666666666,"Ako ima zenska osoba zainteresirana za upoznavanje i odlazak na pice i neka nova iskustva,pa sta sudbuna donese, neka stavi lajk pa cu se javiti u inbox. Zanimaju me osobe do 40-tih godina otprilike,jer meni je 42. Nisam nikakvi propali slucaj, i odgovorna sam i financijski samostalna osoba. Slobodan sam i nema razloga za strah jer je anonimno. Samo se zelim ograditi od problema. Hvala","If there is a female person interested in meeting and going out for drinks and some new experiences, whatever fate brings, put a like and I will contact you in the inbox. I am interested in people up to the age of 40, because I am 42. I am not a lost case, and I am a responsible and financially independent person. I am free and there is no reason to fear because it is anonymous. I just want to keep myself out of trouble. Thanks"
126,2026-01-06,2026-01-01,2026,hr,jezik_obrazovanje,pitanje_potreba,0,0,0,neutralan,NA,NA,88,16,2,0.9166666666666666,Pozdrav! Ima li u grupi onih koji idu na erasmus u Kopenhagen ovog proljeća?,Greeting! Are there any in the group who are going on Erasmus in Copenhagen this spring?
127,2026-01-06,2026-01-01,2026,hr,sport_zabava,ponuda_oglas,1,0,0,neutralan,NA,NA,108,19,0,0.9333333333333333,Bok Javite mi se u inbox ako neko prodaje dvije karte za utakmicu Hrvatska-Svedska 21/1 u Malmö‍,"Hello, contact me in my inbox if someone is selling two tickets for the match Croatia-Sweden 21/1 in Malmö​​"
128,2026-01-05,2026-01-01,2026,da,ostalo,ostalo,1,0,0,neutralan,NA,NA,15,3,0,1,Job in Danmark,Jobs in Denmark
129,2025-12-20,2025-12-01,2025,hr,tv_internet,pitanje_potreba,2,11,3,pozitivan,3,0,182,32,2,0.9166666666666666,"Bok ekipa Zanima me je li netko u Danskoj uspio gledati naše TV kanale iz Hrvatske? Ako imate neku preporuku (aplikacija, IPTV, box…), bila bih zahvalna","Hello team, I would like to know if anyone in Denmark was able to watch our TV channels from Croatia? If you have any recommendations (application, IPTV, box...), I would be grateful"
130,2026-01-02,2026-01-01,2026,en,posao,ponuda_oglas,2,0,9,pozitivan,9,0,827,129,3,0.8448275862068966,"We Are Hiring in Denmark! Auto Mechanics • Body Repair Technician • Car Painter Accommodation can be provided At Brdr. Dan Workshop, we are expanding and looking for skilled professionals to work in Denmark Hillerød Hundested Frederikssund ‍ Open positions Auto Mechanics Body Repair Technician (Panel Beater) Car Painter / Auto Painter We offer • Competitive salary (based on experience) • Modern workshops & professional equipment • Training (including EV & hybrid vehicles ) • Company car scheme & employee benefits • Accommodation can be provided • Stable jobs with good working conditions in Denmark Requirements • Relevant qualification • Ability to work independently and deliver quality • Reliable and responsible • English or Danish speaking Start: As soon as possible Apply: dan@brdr-danbiler.dk Call: +45 22 59 59 40","We Are Hiring in Denmark! Auto Mechanics • Body Repair Technician • Car Painter Accommodation can be provided At Brdr. Dan Workshop, we are expanding and looking for skilled professionals to work in Denmark Hillerød Hundested Frederikssund ‍ Open positions Auto Mechanics Body Repair Technician (Panel Beater) Car Painter / Auto Painter We offer • Competitive salary (based on experience) • Modern workshops & professional equipment • Training (including EV & hybrid vehicles ) • Company car scheme & employee benefits • Accommodation can be provided • Stable jobs with good working conditions in Denmark Requirements • Relevant qualification • Ability to work independently and deliver quality • Reliable and responsible • English or Danish speaking Start: As soon as possible Apply: dan@brdr-danbiler.dk Call: +45 22 59 59 40"
131,2025-11-22,2025-11-01,2025,hr,tv_internet,pitanje_potreba,2,15,1,pozitivan,1,0,93,17,1,0.9285714285714286,"Bok,di se moze kupiti legalno IPTV kanali ili ako netko ima preporuku za nase kanale ?","Hi, where can I legally buy IPTV channels or if anyone has a recommendation for our channels?"
132,2025-12-31,2025-12-01,2025,hr,hrana_prodaja,ponuda_oglas,15,2,3,pozitivan,3,0,219,43,2,0.9117647058823529,"Dobar dan, danas imam u ponudi 6 princes krofni viska za prodaju( spremane su pre nekoliko sati) , ako jos neko nije odlucio Kako da se zasladi za Novu godinu, javite seZivjeli mi i svako dobro u Novoj godini. Hvala","Good day, today I offer 6 princess donuts for sale (they were prepared a few hours ago), if anyone has not decided how to sweeten themselves for the New Year, let me know. Cheers and all the best in the New Year. Thanks"
133,2025-12-31,2025-12-01,2025,hr,ostalo,pitanje_potreba,0,0,0,neutralan,NA,NA,17,3,1,1,kaj danas?,what about today?
134,2025-12-23,2025-12-01,2025,hr,hrana_prodaja,ponuda_oglas,27,16,3,pozitivan,3,0,191,34,4,0.9615384615384616,"Dobro veceImam visak 3 kg kolaca ( svezih , radjeno juce i danas) za prodajuMix: trostruki uzitak, rozen torta, Bajadera, ruske kape i cupavciPreuzimaju se u Ballerupu","Good evening. I have an extra 3 kg of cakes (fresh, made yesterday and today) for sale. Mix: triple pleasure, rose cake, Bajadera, Russian hats and tupavci. They can be picked up in Ballerup."
135,2025-12-23,2025-12-01,2025,hr,hrana_prodaja,obavijest,49,10,3,pozitivan,4,1,383,64,4,0.7627118644067796,"Svima u grupi, čestit i blagoslovljen Božić! Dragi svi, eto Božić je iza ugla, te ste vjerojatno na putu ili ste već na destinaciji gdje sa svojim bližnjima pripremate sve za proslavu blagdana! U želji da preživite blagdanski stol bez previše muka, uživate u kolačima i ostaloj hrani, te da se ne zaboravite odmoriti! Administratori.","To everyone in the group, merry and blessed Christmas! Dear everyone, Christmas is around the corner, and you are probably on your way or already at a destination where you and your loved ones are preparing everything for the holiday celebration! If you want to survive the holiday table without too much trouble, enjoy cakes and other food, and don't forget to rest! Administrators."
136,2025-12-26,2025-12-01,2025,hr,transport_putovanja,obavijest,0,0,12,pozitivan,12,0,394,69,6,0.7678571428571429,"Sretan i blagoslovljen Božić! Od srca želimo da svim našim dragim klijentima i partnerima čestitamo Božić Neka vam ovi praznični dani budu ispunjeni mirom , zdravljem , radošću i toplinom doma Hvala vam na povjerenju, saradnji i podršci tokom godine Radujemo se novim uspjesima i zajedničkim putevima u godini koja dolazi Vaš Sverige Transport Sretan Božić i sve najljepše!","Merry and blessed Christmas! From the bottom of our hearts, we wish all our dear clients and partners a Merry Christmas. May these festive days be filled with peace, health, joy and the warmth of home. Thank you for your trust, cooperation and support during the year. We look forward to new successes and joint paths in the coming year. Your Sverige Transport Merry Christmas and all the best!"
137,2025-12-15,2025-12-01,2025,hr,novac_financije,pitanje_potreba,0,15,0,neutralan,NA,NA,215,38,4,0.8571428571428571,"Pozdrav svima. Zna li netko gdje u Hrvatskoj ili BIH mogu zamijeniti DKK u Eure ili neku drugu valutu? Nema gdje nisam pokusao, nitko ih ne uzima... Hvala unaprijed na odgovoru!","Hello everyone. Does anyone know where in Croatia or Bosnia and Herzegovina I can exchange DKK for Euros or another currency? There is no place I haven't tried, no one takes them... Thanks in advance for the answer!"
138,2025-12-24,2025-12-01,2025,hr,ostalo,ostalo,0,1,0,neutralan,NA,NA,95,12,1,1,Pozdrav Karta zrakomlat smjer Budapest- Copenhagen 27. prosinca 14.40 0045 31886120 031/301-125,Greetings Map air jet direction Budapest-Copenhagen December 27 14.40 0045 31886120 031/301-125
139,2025-12-24,2025-12-01,2025,hr,dogadjaji_promocija,ostalo,1,0,0,neutralan,NA,NA,18,3,0,1,Balkan Nytårs fest,Balkan Nytårs fest
140,2025-12-22,2025-12-01,2025,hr,hrana_prodaja,obavijest,20,0,0,neutralan,1,1,456,65,14,0.8181818181818182,"Pozdrav Ekipa, Podsjecam I ove godine radimo misu na Hrvatskom jeziku u Aalborgu ususret/oko Bozica. Misa ce se odrzati u Subotu 27.12.2025. u Skt. Marie Kirke (Kastetvej 1 , 9000 Aalborg ) ([https://maps.app.goo.gl/jQLjfu2hbYuAyvPH9](https://maps.app.goo.gl/jQLjfu2hbYuAyvPH9...) ) Raspored je sljedeci 15.00 Mogućnost za ispovijed 15.30 Misa ‪16.30 - 18.00‬ Druženje uz kavu i kolače Vidimo se","Greetings Team, I would like to remind you that this year we are holding a mass in the Croatian language in Aalborg before/around Christmas. Mass will be held on Saturday, December 27, 2025. in Skt. Marie Kirke (Kastetvej 1 , 9000 Aalborg ) ([https://maps.app.goo.gl/jQLjfu2hbYuAyvPH9](https://maps.app.goo.gl/jQLjfu2hbYuAyvPH9...) ) Schedule is as follows 15.00 Possibility for confession 15.30 Mass 16.30 - 18.00 Socializing with coffee and cakes See you"
141,2025-12-21,2025-12-01,2025,hr,drustvo_upoznavanje,pitanje_potreba,5,23,-1,negativan,0,1,316,57,3,0.8541666666666666,Lipi pozdrav Jedno pitanje Prije skoro dvije godine mi je policija zbog alkohola stavila zabranu upravljanja motornim vozilom od 3 godine i 30 000dkk. Novčani dio sam riješio pa me zanima dali postoji mogućnost da mi smanje trajanje zabrane. Ima li tko sličnih iskustava? Oprostite što je anonimno,"Lipi pozdrav One question Almost two years ago, the police banned me from driving a motor vehicle for 3 years and 30,000 dkk due to alcohol. I have solved the financial part, so I am wondering if there is a possibility to reduce the duration of my ban. Does anyone have similar experiences? Sorry for being anonymous"
142,2025-12-20,2025-12-01,2025,hr,stanovanje,pitanje_potreba,2,2,4,pozitivan,4,0,413,71,4,0.8095238095238095,"Pozdrav svima, uskoro počinjem raditi u Rødovreu (Danska) kao kemijski inženjer, pa trenutno aktivno tražim stan za jednu osobu. Imate li kakve preporuke stranica / portala koje su vam najkorisnije za traženje dugoročnog najma u tom području? Također, ako netko direktno nudi stan prikladnu za jednu osobu, slobodno mi se obratite privatnom porukom. Hvala puno unaprijed!","Hello everyone, I will soon start working in Rødovre (Denmark) as a chemical engineer, so I am currently actively looking for an apartment for one person. Do you have any recommendations of sites / portals that are most useful for looking for long-term rentals in the area? Also, if someone directly offers an apartment suitable for one person, feel free to contact me by private message. Thanks a lot in advance!"
143,2025-12-20,2025-12-01,2025,hr,transport_putovanja,pitanje_potreba,2,4,0,neutralan,NA,NA,67,12,1,1,"Pozdrav, trazim ucestalog prijevoznika Danska - Hrvatska. Kamion","Hello, I am looking for a frequent carrier Denmark - Croatia. Truck"
144,2025-12-20,2025-12-01,2025,hr,ostalo,pitanje_potreba,2,0,0,neutralan,NA,NA,40,7,1,1,Da li u ovoj grupi ima tamburasa?,Are there any tambourines in this group?
145,2025-12-11,2025-12-01,2025,hr,zdravstvo,pitanje_potreba,2,27,-2,negativan,3,5,509,99,8,0.7333333333333333,Dobar dan! Jedno pitanje kako ovdje funkcionira u vezi doktora kada vam se dijete razboli? Moj sin je već bolestan tjedan dana. Ima temperaturu i kašlje bez prestanka. Zvala sam njegovog doktora i rekli su mi da je nešto viralno i da nema potrebe da nas naruči za pregled. Jučer smo bili na hitnoj i više manje isto su mi rekli da je neka viroza. Ali nema poboljšanja kod njega. Jel netko imao ovakvo iskustvo ovdje u Danskoj? Hvala,"Good afternoon! One question, how does it work here regarding doctors when your child gets sick? My son has been sick for a week now. He has a fever and coughs non-stop. I called his doctor and they told me that it was something viral and that there was no need for him to order us for an examination. Yesterday we went to the emergency room and they told me more or less the same thing that it was some kind of virus. But there is no improvement in him. Has anyone had this experience here in Denmark? Thanks"
146,2025-12-17,2025-12-01,2025,hr,posao,ponuda_oglas,9,0,9,pozitivan,9,0,835,136,5,0.6037735849056604,"Tražimo više radnika za uzbudljiv projekt na CPH Aerodrom! GP Ventilation ApS traži nove članove tima za naš veliki projekt u Kopenhagenu. Nudimo odlične uvjete rada i priliku da budete dio dinamičnog i stručnog tima. Što nudimo: • Plaću po dogovoru • Dodatke: SH, fritid, Pension Denmark • Sigurne i moderne radne uvjete • Mogućnost učenja i razvoja Koga tražimo: • Prednost imaju kandidati s iskustvom u ventilaciji • Otvoreni smo i za kandidate bez iskustva, spremni smo vas naučiti sve što je potrebno • Motivirane, odgovorne i pouzdane radnike Ako želite postati dio našeg tima i sudjelovati u ovom uzbudljivom projektu, javite nam se! Pošaljite prijavu na: lo@gp-ventilation.dk Za više informacija nazovite: +45 7180 5150","We are looking for more workers for an exciting project at CPH Aerodrom! GP Ventilation ApS is looking for new team members for our big project in Copenhagen. We offer excellent working conditions and the opportunity to be part of a dynamic and professional team. What we offer: • Salary according to agreement • Supplements: SH, fritid, Pension Denmark • Safe and modern working conditions • Possibility of learning and development Who we are looking for: • Candidates with experience in ventilation are preferred • We are also open to candidates without experience, we are ready to teach you everything you need • Motivated, responsible and reliable workers If you want to become part of our team and participate in this exciting project, contact us! Send application to: lo@gp-ventilation.dk For more information call:  45 7180 5150"
147,2025-12-15,2025-12-01,2025,hr,posao,ponuda_oglas,0,0,7,pozitivan,7,0,639,100,4,0.7160493827160493,"Tražimo automehaničara – Hillerød Tražimo kvalificiranog i iskusnog automehaničara za naš servis u Hillerødu. Postat ćete dio stabilnog tima, a svakodnevni posao uključuje servisiranje, popravke, dijagnostiku i ostale uobičajene radove na vozilima različitih marki. Zahtjevi: • Završeno obrazovanje za automehaničara • Samostalnost u radu i visoka razina kvalitete • Pouzdanost i pozitivan stav Nudimo: • Stalni posao na puno radno vrijeme • Dobre radne uvjete i profesionalno okruženje • Plaću prema kvalifikacijama Zainteresirani? Pošaljite svoju prijavu na dan@brdr-danbiler.dk ili nas kontaktirajte na 22595940","We are looking for a car mechanic - Hillerød We are looking for a qualified and experienced car mechanic for our service in Hillerød. You will become part of a stable team, and the daily work includes servicing, repairs, diagnostics and other common work on vehicles of different brands. Requirements: • Completed education for a car mechanic • Independence in work and high level of quality • Reliability and positive attitude We offer: • Permanent full-time job • Good working conditions and professional environment • Salary according to qualifications Interested? Send your application to dan@brdr-danbiler.dk or contact us at 22595940"
148,2025-12-12,2025-12-01,2025,hr,hrana_prodaja,pitanje_potreba,9,8,2,pozitivan,2,0,224,40,1,0.90625,"Dragi svi U potrazi sam za našim domaćim kolačima u Aarhusu ili okolici – posebno zvjezdice, mađarica ili ruske kape. Ako netko pravi po narudžbi ili zna nekoga tko radi, bila bih jako zahvalna na preporuci","Dear all, I am looking for our homemade cakes in Aarhus or the surrounding area - especially stars, Hungarian or Russian caps. If anyone makes to order or knows someone who does, I would be very grateful for a recommendation"
149,2025-12-13,2025-12-01,2025,hr,birokracija,pitanje_potreba,3,14,1,pozitivan,2,1,319,64,3,0.7321428571428571,"Prije 10-tak godina sam bila u Danskoj...nakon sto sam se vratila poslali su mi da imam povrat poreza ali da nemaju racun na koji da isplate jer nisam nikad imala otvoren racun tamo(novci su isli na racun od jedne zene jer sam radila maloljetna) nisam to tad rjesila i zavoravila sam na to.Jucer dolazi posta ponovno i opet navode da nemaju racun na koji da to isplate,Danski ne znam.Ne znam na koji nacin ni da im dostavim to nista.Znate li nekoga tko se bavi Dasnkim prevodenjem?","About 10 years ago, I was in Denmark...after I came back, they sent me that I have a tax refund, but that they don't have an account to pay it to because I never had an account there (the money went to the account of a woman because I worked underage), I didn't solve it then and I was fooled by it. Danish translation?"
150,2025-12-10,2025-12-01,2025,hr,transport_putovanja,pitanje_potreba,0,8,0,neutralan,NA,NA,99,20,1,1,"Pozdrav, dali netko ide autom za hrvatsku za 10ak dana, podjelili bi se troskovi naravno?","Hello, if anyone is going to Croatia by car in about 10 days, would the costs be shared, of course?"
151,2025-12-08,2025-12-01,2025,hr,vjera_zajednica,pitanje_potreba,1,1,0,neutralan,NA,NA,147,26,2,0.9090909090909091,Bok ekipa! Blagdane ćemo provesti u Esbjergu pa me zanima jel ima misa/polnoćka u blizini na našem jeziku? Lijep pozdrav svima,"Hello team! We will spend the holidays in Esbjerg, so I am wondering if there is a mass/midnight mass nearby in our language? Greetings to everyone"
